queue_id,queue_type,queue_status,annotator_id,queue_position,scene_id,trajectory_id,split,recording_id,source_recording_file,source_recording_track_id,frame_start,frame_end,number_of_points,trajectory_source_path,trajectory_source_checksum,video_available
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,1,bellevue_116th_ne12th,bellevue_116th_ne12th:107074,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,32479,61847,61970,124,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,2,bellevue_116th_ne12th,bellevue_116th_ne12th:32605,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,32605,69567,69796,230,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,3,bellevue_116th_ne12th,bellevue_116th_ne12th:53199,target_estimation,Bellevue_116th_NE12th__2017-09-10_20-09-12,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,1930,4626,4794,169,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,4,bellevue_116th_ne12th,bellevue_116th_ne12th:171440,target_estimation,Bellevue_116th_NE12th__2017-09-10_23-08-29,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,45267,98233,98379,147,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,5,bellevue_116th_ne12th,bellevue_116th_ne12th:120660,target_estimation,Bellevue_116th_NE12th__2017-09-10_22-08-50,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,543,1167,1338,172,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,6,bellevue_116th_ne12th,bellevue_116th_ne12th:82650,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,8055,14221,14769,549,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,7,bellevue_116th_ne12th,bellevue_116th_ne12th:4700,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,4700,11199,11421,223,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,8,bellevue_116th_ne12th,bellevue_116th_ne12th:64453,target_estimation,Bellevue_116th_NE12th__2017-09-10_20-09-12,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,13184,24941,25079,139,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,9,bellevue_116th_ne12th,bellevue_116th_ne12th:144076,target_estimation,Bellevue_116th_NE12th__2017-09-10_23-08-29,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,17903,39482,39671,190,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,10,bellevue_116th_ne12th,bellevue_116th_ne12th:123428,target_estimation,Bellevue_116th_NE12th__2017-09-10_22-08-50,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,3311,7075,7425,351,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,11,bellevue_116th_ne12th,bellevue_116th_ne12th:87863,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,13268,23817,24434,618,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,12,bellevue_116th_ne12th,bellevue_116th_ne12th:50761,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,50761,105581,105725,145,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,13,bellevue_116th_ne12th,bellevue_116th_ne12th:69170,target_estimation,Bellevue_116th_NE12th__2017-09-10_20-09-12,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,17901,33855,34302,448,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,14,bellevue_116th_ne12th,bellevue_116th_ne12th:172874,target_estimation,Bellevue_116th_NE12th__2017-09-10_23-08-29,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,46701,101108,101311,204,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,15,bellevue_116th_ne12th,bellevue_116th_ne12th:125743,target_estimation,Bellevue_116th_NE12th__2017-09-10_22-08-50,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,5626,12133,12292,160,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,16,bellevue_116th_ne12th,bellevue_116th_ne12th:115259,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,40664,78042,78246,205,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,17,bellevue_116th_ne12th,bellevue_116th_ne12th:36416,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,36416,78210,78394,185,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,18,bellevue_116th_ne12th,bellevue_116th_ne12th:60047,target_estimation,Bellevue_116th_NE12th__2017-09-10_20-09-12,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,8778,17388,17526,139,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,19,bellevue_116th_ne12th,bellevue_116th_ne12th:143938,target_estimation,Bellevue_116th_NE12th__2017-09-10_23-08-29,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,17765,39129,39278,150,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,20,bellevue_116th_ne12th,bellevue_116th_ne12th:124122,target_estimation,Bellevue_116th_NE12th__2017-09-10_22-08-50,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,4005,8423,8701,279,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,21,bellevue_116th_ne12th,bellevue_116th_ne12th:106247,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,31652,60153,60534,382,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,22,bellevue_116th_ne12th,bellevue_116th_ne12th:49349,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,49349,103019,103151,133,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,23,bellevue_116th_ne12th,bellevue_116th_ne12th:64165,target_estimation,Bellevue_116th_NE12th__2017-09-10_20-09-12,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,12896,24394,24887,494,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,24,bellevue_116th_ne12th,bellevue_116th_ne12th:144839,target_estimation,Bellevue_116th_NE12th__2017-09-10_23-08-29,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,18666,40983,41111,129,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,25,bellevue_116th_ne12th,bellevue_116th_ne12th:120901,target_estimation,Bellevue_116th_NE12th__2017-09-10_22-08-50,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,784,1751,1905,155,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,26,bellevue_116th_ne12th,bellevue_116th_ne12th:89877,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,15282,27440,27641,202,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,27,bellevue_116th_ne12th,bellevue_116th_ne12th:16862,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,16862,36443,36761,319,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,28,bellevue_116th_ne12th,bellevue_116th_ne12th:63622,target_estimation,Bellevue_116th_NE12th__2017-09-10_20-09-12,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_20-09-12.mp4,12353,23547,23650,104,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_20-09-12.parquet,bd0eca29c673aaa26f1307a0d5e552648ad838e51d238d58240912d393824c9f,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,29,bellevue_116th_ne12th,bellevue_116th_ne12th:130233,target_estimation,Bellevue_116th_NE12th__2017-09-10_23-08-29,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_23-08-29.mp4,4060,8325,8685,361,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_23-08-29.parquet,31046a227dc21d93d0d18b6bf3310b914743b8f9bd6b32b0acce705bc0a42f3a,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,30,bellevue_116th_ne12th,bellevue_116th_ne12th:125892,target_estimation,Bellevue_116th_NE12th__2017-09-10_22-08-50,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_22-08-50.mp4,5775,12392,13015,624,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_22-08-50.parquet,a028f4409d9ccbf84e99b842174cdb2713d4b2169522ac1718dd4320e2344500,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,31,bellevue_116th_ne12th,bellevue_116th_ne12th:82742,target_estimation,Bellevue_116th_NE12th__2017-09-10_21-08-54,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_21-08-54.mp4,8147,14458,14748,291,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_21-08-54.parquet,ad024efff91a68a4ef554cfa6a9f07d34a845d242770952037688b6bfa5e6317,True
protocol_pilot_v1,protocol_pilot,available_for_protocol_development,protocol_pilot,32,bellevue_116th_ne12th,bellevue_116th_ne12th:5997,target_estimation,Bellevue_116th_NE12th__2017-09-10_19-08-25,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-10_19-08-25.mp4,5997,13784,14033,250,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-10_19-08-25.parquet,b068313f869dc5d2b8e2b963b295a74593b61bb348d9cc1d6c849b6323eb1c7b,True
