weight_id,family,T,O,B,S,D
global_0000,global,0.06824812321395982,0.3719172683940777,0.16647917520489255,0.06130923077906719,0.33204620240800287
global_0001,global,0.004347561466365118,0.3868075475831788,0.3815879510917278,0.21459212484981754,0.012664815008910466
global_0002,global,0.11538624169588689,0.04437216532046504,0.3144843267856401,0.49330517815397457,0.03245208804403343
global_0003,global,0.06803986026440287,0.25879838871506294,0.35899462042975605,0.04985126027249913,0.26431587031827897
global_0004,global,0.5731625153941851,0.2617998817074966,0.03198567201202241,0.11399904855065779,0.019052882335638066
global_0005,global,0.4022301509584022,0.11288415780989533,0.08727444934095215,0.16000045546408112,0.23761078642666936
global_0006,global,0.15468733178131355,0.1283746041034495,0.2783903958409824,0.010910175122678884,0.4276374931515757
global_0007,global,0.5318931697336828,0.0374520770971619,0.1490044659757881,0.13447044188674961,0.14717984530661765
global_0008,global,0.5181798586652303,0.20693713265155556,0.012960154401565591,0.02203956071115645,0.23988329357049198
global_0009,global,0.2870592182672904,0.01211469105133092,0.29784788910202714,0.11780115270494017,0.2851770488744112
global_0010,global,0.03473203749489948,0.6004353760598158,0.32067300291348144,0.03497730681817623,0.009182276713627206
global_0011,global,0.45758540702587663,0.18243476670590336,0.05930327015991381,0.002285500498309018,0.2983910556099971
global_0012,global,0.33109208282172753,0.09801752902788649,0.016367749076019608,0.07069490165553384,0.48382773741883267
global_0013,global,0.1096312232240451,0.3958514304051892,0.3231955628985933,0.11222250720043139,0.05909927627174105
global_0014,global,0.34581770940268414,0.27540493627971624,0.054603544953987476,0.06390114617140129,0.2602726631922108
global_0015,global,0.23358833754947927,0.026160635542893447,0.025271346343498608,0.11002213691864361,0.6049575436454852
global_0016,global,0.040140041933507085,0.17726604547205696,0.22809359283649408,0.36112356146053737,0.19337675829740428
global_0017,global,0.5586686242353236,0.2820793644018264,0.031108180896855638,0.09304209699140102,0.03510173347459331
global_0018,global,0.060569238848196316,0.14619851229015268,0.6840500582761364,0.06194071037081572,0.047241480214698824
global_0019,global,0.22191397276917152,0.23035572602239565,0.28208408200285745,0.08326483216708708,0.18238138703848822
global_0020,global,0.001337905916720511,0.34096009977520914,0.4365251363986227,0.05904767896201482,0.1621291789474328
global_0021,global,0.13402006905090236,0.04250938385778597,0.25790830978794277,0.1622084604096986,0.4033537768936703
global_0022,global,0.2111281597144228,0.227814548315308,0.38124232432355143,0.11534902144015179,0.06446594620656594
global_0023,global,0.2938776218834679,0.6025073498640623,0.06737303636351288,0.01041149352758927,0.025830498361367832
global_0024,global,0.004638648550936585,0.6094569184860037,0.017882279421481278,0.1736641308736684,0.19435802266791014
global_0025,global,0.1180350353511497,0.153567585879344,0.015120483682334767,0.34967844543132853,0.36359844965584287
global_0026,global,0.1649787495122228,0.5229049978473335,0.14431110105150424,0.0690880477858801,0.09871710380305959
global_0027,global,0.22725210018803216,0.013434065092213267,0.21749528732839915,0.09955840646514687,0.4422601409262085
global_0028,global,0.20017732272697114,0.04844046297627241,0.19868074902491015,0.32102998395731014,0.2316714813145363
global_0029,global,0.06011422296449005,0.20530555496781394,0.220883984422586,0.4935024098586356,0.02019382778647452
global_0030,global,0.23416305027876308,0.06622216573129452,0.49943687538070636,0.19069300204521927,0.009484906564016805
global_0031,global,0.04521569235786283,0.11680930513541554,0.20836756930684558,0.5512756234555394,0.07833180974433655
global_0032,global,0.13339317146781926,0.16527781698847077,0.07052220887360622,0.37901985410422584,0.2517869485658779
global_0033,global,0.2913672992753313,0.00832632665471925,0.16752621828770986,0.06877040127169413,0.4640097545105453
global_0034,global,0.2049515006796575,0.474941974678995,0.17451550638524244,0.026102397177719606,0.11948862107838548
global_0035,global,0.13341718861849752,0.22630326398802766,0.17764686224834284,0.45226323452291534,0.010369450622216649
global_0036,global,0.40169592524643427,0.002891327561517795,0.1461603828032008,0.2944645965335225,0.15478776785532447
global_0037,global,0.04383925419470578,0.10675615859723947,0.031113625825769764,0.049537403684362775,0.7687535576979221
global_0038,global,0.07386727151108981,0.41467368320250286,0.28163345367922,0.07055885427694211,0.1592667373302452
global_0039,global,0.048061164599837954,0.01056194508856766,0.2837810220517182,0.40129313302656805,0.2563027352333082
global_0040,global,0.10076188897979502,0.047943141195988304,0.07710881832409154,0.4859596613973019,0.2882264901028232
global_0041,global,0.09848429015284905,0.032866610932347134,0.26115060212385927,0.19769400616116894,0.4098044906297757
global_0042,global,0.2025122788846604,0.0425996363259257,0.42460792234007044,0.10059601857011255,0.22968414387923083
global_0043,global,0.5883247555847744,0.15797171820424352,0.04205039122531642,0.0528821583064345,0.15877097667923123
global_0044,global,0.3318446316493643,0.05991914163552426,0.06553426298431517,0.36846536060789625,0.17423660312289996
global_0045,global,0.24610400839029023,0.3642554388932407,0.09681287726362685,0.24972256265030085,0.04310511280254134
global_0046,global,0.0971761678230449,0.08351180067694829,0.009566178619793055,0.7609696041094262,0.04877624877078754
global_0047,global,0.1814729292016611,0.43776002481521664,0.03504852967879501,0.022784320502080516,0.32293419580224664
global_0048,global,0.22344041938441556,0.5287302583509711,0.033615295166249226,0.1950367381331643,0.01917728896519981
global_0049,global,0.20714452253085458,0.24358834192700374,0.11337631682124844,0.0832351959104816,0.3526556228104116
global_0050,global,0.4610612648296885,0.19471146921187824,0.09398987450907362,0.1839146961570722,0.06632269529228729
global_0051,global,0.12182242482738229,0.5945946551496945,0.06365597816752186,0.0886226294531187,0.13130431240228269
global_0052,global,0.42361807145880376,0.02935948875123987,0.05790404604792557,0.057183413331792575,0.4319349804102383
global_0053,global,0.06649105674776701,0.4901458051088067,0.01011460720614959,0.30720323917882475,0.12604529175845192
global_0054,global,0.2141989501147317,0.45211787245075824,0.09297706933122186,0.1625846249946543,0.07812148310863394
global_0055,global,0.09145296815427939,0.4078274993153595,0.11597831426342316,0.3566591925831627,0.028082025683775203
global_0056,global,0.545152970079433,0.12757906175498374,0.269518385150578,0.029616623594739926,0.028132959420265155
global_0057,global,0.12405584672206467,0.5535031878843192,0.1898151352732114,0.12132327040958181,0.01130255971082291
global_0058,global,0.17718396191283856,0.23484757783007784,0.1741014301652741,0.2893305135314134,0.12453651656039615
global_0059,global,0.3403653933220918,0.20183809240163728,0.32673518253816625,0.028455104258497895,0.10260622747960692
global_0060,global,0.2470093398737436,0.0668876815446873,0.07205915768849355,0.2818383213030072,0.3322054995900684
global_0061,global,0.041510495556961347,0.26301863611011245,0.5727285984231832,0.010545236770212912,0.11219703313952997
global_0062,global,0.0454234743155314,0.19874632496491626,0.22944579462100956,0.5016900993840036,0.024694306714539246
